"Attribute Name","Numeric Values","From Range","Disabled","Increment","To Range","ID (Item Attribute Values)","Abbreviation (Item Attribute Values)","Attribute Value (Item Attribute Values)"
"TSUS Grade 11 Elective 2 Selection",0,0.0,0,0.0,0.0,"3j5brm7hku","Math","TSUS Grade 11 Mathematics"
"","","","","","","3j5t3nt7k3","Economics","TSUS Grade 11 Economics"
"","","","","","","3j5055pvhd","Political Science","TSUS Grade 11 Political Science"
"","","","","","","5noudcvm49","Biology","TSUS Grade 11 Biology"
"TSUS Grade 11 Elective 1 Selection",0,0.0,0,0.0,0.0,"1igb3rrmha","Computer Science","TSUS Grade 11 Computer Science"
"","","","","","","1igt6g7ln2","Applied Mayh","TSUS Grade 11 Applied Mathematics"
"","","","","","","1igvvu9mrq","Entrepreneurship","TSUS Grade 11 Entrepreneurship"
"","","","","","","1igqapds1k","Informatics Practices","TSUS Grade 11 Informatics Practices"
"","","","","","","6d84di70rh","Psychology","TSUS Grade 11 Psychology"
"","","","","","","6d8p6rce6d","Marketing","TSUS Grade 11 Marketing"
"TSUS Grade 11 Mandate",0,0.0,0,0.0,0.0,"uh5u1kk90i","Mandate","TSUS Grade 11 Mandate"
"TSUS Grade 11 Stream Selection",0,0.0,0,0.0,0.0,"u7copb4r15","Science","TSUS Grade 11 Science"
"","","","","","","u7cnha135o","Commerce","TSUS Grade 11 Commerce"
"","","","","","","u7cvvbs832","Humanities","TSUS Grade 11 Humanities"
"WM JK Grade 8 Language Selection",0,0.0,0,0.0,0.0,"c8g85gks03","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 8 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","c8gp7nhbaj","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 8 Kannada 2nd Lan Hin 3rd Lan"
"","","","","","","dn2bk0l56q","French 2nd Lan Kan 3rd Lan","WM JK Grade 8 French 2nd Lan Kan 3rd Lan"
"","","","","","","fmvafk49l5","Kannada 2nd Lan Fre 3rd Lan","WM JK Grade 8 Kannada 2nd Lan Fre 3rd Lan"
"WM JK Grade 7 Language Selection",0,0.0,0,0.0,0.0,"bg77s3d0jh","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 7 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","bg7nln6f7q","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 7 Kannada 2nd Lan Hin 3rd Lan"
"","","","","","","d8qpl2aa5q","French 2nd Lan Kan 3rd Lan","WM JK Grade 7 French 2nd Lan Kan 3rd Lan"
"","","","","","","g2eausnnmd","Kannada 2nd Lan Fre 3rd Lan","WM JK Grade 7 Kannada 2nd Lan Fre 3rd Lan"
"WM JK Grade 6 Language Selection",0,0.0,0,0.0,0.0,"8pj8gcev1u","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 6 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","8pj9hltvqp","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 6 Kannada 2nd Lan Hin 3rd Lan"
"","","","","","","cr1q60uin5","French 2nd Lan Kan 3rd Lan","WM JK Grade 6 French 2nd Lan Kan 3rd Lan"
"WM JK Grade 5 Language Selection",0,0.0,0,0.0,0.0,"70f5rcdcoc","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 5 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","70fqqc0oh8","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 5 Kannada 2nd Lan Hin 3rd Lan"
"WM JK Grade 4 Language Selection",0,0.0,0,0.0,0.0,"4eaj16r9j0","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 4 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","4ead4nmbr8","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 4 Kannada 2nd Lan Hin 3rd Lan"
"WM JK Grade 3 Language Selection",0,0.0,0,0.0,0.0,"3nhp6a8938","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 3 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","3nh7e295f7","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 3 Kannada 2nd Lan Hin 3rd Lan"
"WM JK Grade 2 Language Selection",0,0.0,0,0.0,0.0,"33ji3qmtud","Hindi 2nd Lan Kan 3rd Lan","WM JK Grade 2 Hindi 2nd Lan Kan 3rd Lan"
"","","","","","","33j8t6nj4l","Kannada 2nd Lan Hin 3rd Lan","WM JK Grade 2 Kannada 2nd Lan Hin 3rd Lan"
