ID,Item,Company,Quantity,Currency,Conversion Rate,ID (Items),Item Code (Items),Qty (Items),Rate (Items),UOM (Items)
BOM-SAS KS Grade 9 DSE Bookkit - (HI/CA/HS/SST)-001,SAS KS Grade 9 DSE Bookkit - (HI/CA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,6sjgvho71l,Beehive,1,0,Nos
,,,,,,6sjdj8pctb,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,6sjjatshb3,Words and Expressions 1,1,0,Nos
,,,,,,6sj74k8hir,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,6sj9nsrt8a,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,6sjoqdnj9e,Democratic Politics Grade 9,1,0,Nos
,,,,,,6sjv8or26o,Economics Textbook,1,0,Nos
,,,,,,6sj149l95k,Anmol hindi Vyakaran thatha rachana - 9,1,244.8,Nos
,,,,,,6sjkgbq752,Sparsh Grade 9,1,0,Nos
,,,,,,6sjno1ju6e,Sanchayan I,1,0,Nos
,,,,,,6sjq9i5tia,Computer applications by Sumita Arora Gr IX,1,0,Nos
,,,,,,6sj5oep3a5,Comprehensive Home Science for Class IX- Anju Chauhan,1,0,Nos
,,,,,,6sj9mblg6m,CM Crown 200 pages Single ruled,12,47.41,Nos
,,,,,,6sj5adkvj7,CM Crown 200 pages Maths ruled,6,47.41,Nos
,,,,,,6sjft54nh8,CM 50 Pages Plain Drawing Book,1,22.93,Nos
,,,,,,6sjdii6fe5,CM Long 50 Pages Graph Book,1,22.44,Nos
,,,,,,6sja8bmckc,CM 200 Pages OSR Single Ruled Record Book,2,68.36,Nos
,,,,,,6sj165thr0,CM 100 Pages OSR Single Ruled Record Book,2,42.4,Nos
,,,,,,6sjugvg5d9,CM Crown 100 pages Plain Book,1,22.5,Nos
,,,,,,6sjrmuuh49,SAS Flat File,1,13.14,Nos
,,,,,,6sj4pff3ji,File Folder,1,4.43,Nos
,,,,,,6sjacb7lkh,A4 Size Colour Paper Packet (25 sheets),1,19.42,Nos
,,,,,,6sj7u75bqi,Transparent Roll,1,33.75,Nos
,,,,,,6sjh1lo24u,SAS KS Label Sheet,1,4.24,Nos
,,,,,,6sj33fb8er,Poster Paint (6 Shades),1,50,Nos
,,,,,,6sjqlbevlf,"Flat Brushes - Size 1,3,5,6",6,88.75,Nos
,,,,,,6sjn3cgmfg,A4 Size Plain Sheets (25 sheets),2,18.64,Nos
,,,,,,6sj9fd3uiu,Opendoor Thinking Assessment-SAS,2,480,Nos
,,,,,,6sjp31ngd2,Worksheet,1,300,Nos
,,,,,,6sj8dihe06,SAS KS Almanac,1,75,Nos
,,,,,,6sj75t8634,SAS KS Mini Almanac,1,12,Nos
,,,,,,6sjeq3nbqs,SAS KS ID Card,1,78,Nos
,,,,,,6sj809r3lb,DSE KIT,1,0,Nos
BOM-SAS KS Grade 9 DSE Bookkit - (PA/MA/HS/SST)-001,SAS KS Grade 9 DSE Bookkit - (PA/MA/HS/SST),Inventre Edu Services Pvt Ltd,1,INR,1,2j6dmcj8bb,Beehive,1,0,Nos
,,,,,,2j6942gh0k,Moments - English Suppl. Rdr,1,0,Nos
,,,,,,2j6v5gmpod,Words and Expressions 1,1,0,Nos
,,,,,,2j6fdn47l5,Maths text (RS Agarwal) 9,1,0,Nos
,,,,,,2j6l4fe9cr,Maths Textbook 9,1,0,Nos
,,,,,,2j6vtutv7c,Maths Lab Manual 9,1,251.6,Nos
,,,,,,2j6mikmi56,Contemporary India - Geography Grade 9,1,0,Nos
,,,,,,2j61ulh5kc,India & Contemporary World History Grade 9,1,0,Nos
,,,,,,2j6ljt8d0p,Democratic Politics Grade 9,1,0,Nos
,,,,,,2j6anbk07f,Economics Textbook,1,0,Nos
