order_number,gateway_order_id
SAL-ORD-2026-00122,SO17704373157241ac
SAL-ORD-2026-00129,SO1770448834f570f1
SAL-ORD-2026-00130,SO1770451612f90cbb
SAL-ORD-2026-00154,SO17704635031444b3
SAL-ORD-2026-00382,SO17708748417a38b2
SAL-ORD-2026-01065,SO1771654334ec225f
SAL-ORD-2026-01137-1,SO177175844993ba62
SAL-ORD-2026-01372,SO17718463638af429
SAL-ORD-2026-01504,SO17719040566ab1d8
SAL-ORD-2026-01604,SO177192067548cfa3
SAL-ORD-2026-01656,SO1771933340508ebb
SAL-ORD-2026-01668,SO1771936979a94517
SAL-ORD-2026-01672,SO1771939114c73644
SAL-ORD-2026-01684,SO1771945758b37bd2
SAL-ORD-2026-01533,SO17719093351d5484
SAL-ORD-2026-01998,SO1772089118dcdca5
SAL-ORD-2026-02009,SO1772096037281059
SAL-ORD-2026-02209,SO17721959737f8bd5
SAL-ORD-2026-02349,SO1772269577271bb8
SAL-ORD-2026-02359,SO1772271376dd12cc
SAL-ORD-2026-02362,SO17722717722216b4
SAL-ORD-2026-02364,SO17722724917c44d4
SAL-ORD-2026-02380,SO1772282133077161
SAL-ORD-2026-02442,SO1772301501d2b7bc
SAL-ORD-2026-02485,SO1772344836d12fdc
SAL-ORD-2026-02500,SO1772347204b4bc3e
SAL-ORD-2026-02501,SO1772347391a27cc0
SAL-ORD-2026-02512,SO1772349500eea068
SAL-ORD-2026-02521,SO177234990421cdf5
SAL-ORD-2026-02524,SO1772350940fd03a2
SAL-ORD-2026-02572,SO1772362610f850b0
SAL-ORD-2026-02587,SO177236705538aee4
SAL-ORD-2026-02628,SO177237550060bf86
SAL-ORD-2026-02691,SO1772423520359f2b
SAL-ORD-2026-02695,SO17724249992fb8fc
SAL-ORD-2026-02910,SO1772522190c0cfc9
SAL-ORD-2026-02926,SO1772528395e5d18f
SAL-ORD-2026-02934,SO17725338578535c3
SAL-ORD-2026-02938,SO177253553857c041
SAL-ORD-2026-02976,SO1772555955be0a65
SAL-ORD-2026-03022-1,SO17726057570916b5
SAL-ORD-2026-03039,SO1772625464a3e31c
